FALLA,DIF
PUERTA EN ROTOR ABIERTA,1899-12-30 00:00:00:000
RS1 -FALLA AL TOMAR PIEZA EN LA INDEX,1899-12-30 00:00:10:000
RS1- CONVEYOR DE MUESTRA,1899-12-30 00:01:10:000
RS1 - CONVEYOR DE PIEZA MALA LLENO,1899-12-30 00:02:35:000
ROTOR ST5 - FALLA POSICION DE INDEX,1899-12-30 01:02:35:000
ROTOR ST5 - FALLA POSICION DE INDEX,1899-12-30 00:02:35:000
PUERTA ROBOTS ABIERTA,1899-12-30 00:02:35:000
ROTOR ST3 - SEN PRX21105,1899-12-30 00:02:35:000
RS1- CONVEYOR DE MUESTRA,1899-12-30 00:02:35:000
PUERTA EN ROTOR ABIERTA,1899-12-30 00:02:35:000
ROTOR ST5 - FALLA POSICION DE INDEX,1899-12-30 00:02:35:000
RS1- CONVEYOR DE MUESTRA,1899-12-30 00:02:35:000
PUERTA EN ROTOR ABIERTA,1899-12-30 00:02:35:000
RS1- CONVEYOR DE MUESTRA,1899-12-30 00:02:35:000
PUERTA EN ROTOR ABIERTA,1899-12-30 00:02:35:000
PUERTA EN ROTOR ABIERTA,1899-12-30 00:35:38:000
RS1- CONVEYOR DE MUESTRA,1899-12-30 00:22:35:000
PUERTA EN ROTOR ABIERTA,1899-12-30 01:02:35:000
RS1- CONVEYOR DE MUESTRA,1899-12-30 00:36:35:000
